POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
15;3;3;2:17.611;+4.578;+0.669;100.4;5;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos*;;;USA;;;;;;;
16;88;3;2:17.900;+4.867;+0.289;100.2;5;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
17;13;2;2:17.974;+4.941;+0.074;100.1;5;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
18;03;3;2:18.319;+5.286;+0.345;99.9;5;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
19;51;3;2:19.554;+6.521;+1.235;99.0;5;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
20;73;2;2:19.655;+6.622;+0.101;98.9;5;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra*;;;USA;;;;;;;
21;31;3;2:20.395;+7.362;+0.740;98.4;5;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
22;41;3;2:20.427;+7.394;+0.032;98.4;5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
23;113;3;2:20.690;+7.657;+0.263;98.2;5;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
24;15;3;2:21.108;+8.075;+0.418;97.9;5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
25;14;3;2:23.033;+10.000;+1.925;96.6;5;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
26;11;3;2:24.791;+11.758;+1.758;95.4;5;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis*;;;USA;;;;;;;
;5;3;2:27.230;;;93.9;5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
;67;3;2:27.410;;;93.7;3;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Shea;Holbrook;;;USA;;;;;;;
;80;3;2:27.523;;;93.7;5;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
;12;3;2:28.384;;;93.1;5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon*;;;USA;;;;;;;
;93;0;;;;;2;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
