POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
17;113;8;1:52.429;+1.163;+0.014;122.9;8;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
18;50;8;1:52.975;+1.709;+0.546;122.3;8;Mashore Autobody;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Casey;Mashore;;;USA;;;;;;;
19;17;8;1:53.217;+1.951;+0.242;122.0;8;van der Steur Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Miles;Hewitt;;;USA;;;;;;;
20;14;8;1:53.490;+2.224;+0.273;121.8;8;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
21;67;7;1:53.626;+2.360;+0.136;121.6;8;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Shea;Holbrook;;;USA;;;;;;;
22;3;5;1:53.671;+2.405;+0.045;121.6;8;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos*;;;USA;;;;;;;
23;93;4;1:53.959;+2.693;+0.288;121.3;7;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
24;15;8;1:54.060;+2.794;+0.101;121.1;8;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
25;03;5;1:54.223;+2.957;+0.163;121.0;8;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
26;5;6;1:54.236;+2.970;+0.013;121.0;8;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
27;11;5;1:54.251;+2.985;+0.015;120.9;8;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis*;;;USA;;;;;;;
28;73;3;1:54.380;+3.114;+0.129;120.8;8;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra*;;;USA;;;;;;;
29;51;8;1:55.144;+3.878;+0.764;120.0;8;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
30;80;6;1:55.786;+4.520;+0.642;119.3;8;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
31;12;5;1:57.816;+6.550;+2.030;117.3;8;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon*;;;USA;;;;;;;
