POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
11;41;6;2:28.118;+1.218;+0.012;133.0;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
12;31;2;2:28.128;+1.228;+0.010;133.0;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
13;98;6;2:28.254;+1.354;+0.126;132.9;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
14;113;3;2:28.686;+1.786;+0.432;132.5;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
15;47;4;2:28.887;+1.987;+0.201;132.3;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ayden;Kirk;;;USA;;;;;;;
16;5;3;2:29.002;+2.102;+0.115;132.2;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
17;93;2;2:29.148;+2.248;+0.146;132.1;6;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
18;88;3;2:29.282;+2.382;+0.134;132.0;6;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
19;71;3;2:29.376;+2.476;+0.094;131.9;4;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
20;14;6;2:29.567;+2.667;+0.191;131.7;6;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
21;3;5;2:29.586;+2.686;+0.019;131.7;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends ;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos;;;USA;;;;;;;
22;15;6;2:29.725;+2.825;+0.139;131.6;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
23;11;4;2:29.749;+2.849;+0.024;131.5;6;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;USA;;;;;;;
24;73;5;2:30.506;+3.606;+0.757;130.9;6;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra;;;USA;;;;;;;
25;03;3;2:31.061;+4.161;+0.555;130.4;6;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
26;51;6;2:31.531;+4.631;+0.470;130.0;6;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
27;80;6;2:31.925;+5.025;+0.394;129.7;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
28;18;4;2:32.583;+5.683;+0.658;129.1;6;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
29;86;4;2:32.638;+5.738;+0.055;129.1;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;USA;;;;;;;
30;57;6;2:33.130;+6.230;+0.492;128.6;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;USA;;;;;;;
31;8;6;2:34.660;+7.760;+1.530;127.4;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;USA;;;;;;;
