driver_number,race,throttle_smoothness,steering_smoothness,accel_efficiency,lateral_g_utilization,straight_speed_consistency,braking_point_consistency,corner_efficiency,n_laps,n_samples
5,barber_r2,0.07296264736667087,0.07603938985930457,0.2438348969461263,1.4,0.050202768406012704,0.001320721567653099,0.7426894511327655,27.0,11857.0
7,barber_r2,0.0767507014486483,0.07333701061954993,0.2670798147643694,1.396,0.05143199740123217,0.0009169965565301268,0.7691421868330739,26.0,11556.0
13,barber_r2,0.06459040099928168,0.07437587867173312,0.24548719792150703,1.428,0.05374890048046213,0.033626689618465405,0.7161205483398118,26.0,11393.0
16,barber_r2,0.07024487054790676,0.0739034371077595,0.22903129812677553,1.447,0.05095927803727599,0.0010080562103064363,0.7403538566874417,29.0,12022.0
18,barber_r2,0.06763825069815028,0.09835582600810962,0.2554859060814818,1.3683999999999996,0.05355383686887679,0.0008339462411979293,0.7238413713702387,25.0,11273.0
21,barber_r2,0.06615258847906619,0.061538975131894436,0.2542212014956503,1.422,0.05204416057308442,0.0014319210778961215,0.7553068225196983,26.0,11540.0
31,barber_r2,0.05917883368184456,0.06361927024372785,0.27541293602646016,1.416,0.033216194113901615,0.03771100998206711,0.7157368415771409,25.0,11372.0
46,barber_r2,0.05846659853435882,0.06621329455066463,0.3071895480611687,1.415,0.05414999882691833,,0.7471736271154443,26.0,11117.0
47,barber_r2,0.05592550533409269,0.06200702718257045,0.2187215815194483,1.426699999999999,0.05100045672534619,0.0553029234960895,0.7549912112722238,26.0,11327.0
55,barber_r2,0.06768302272693098,0.0715437838705859,0.2608171911405692,1.4257499999999999,0.054251366582570466,,0.7440848132094989,25.0,11006.0
72,barber_r2,0.06688650288670944,0.06541876948130898,0.13120001273754706,1.416,0.054641561480682,,0.7367418073098074,26.0,11407.0
78,barber_r2,,,0.6080099237993976,0.2296,0.03983608464836973,,,27.0,27.0
80,barber_r2,,,0.5803319209039548,0.059999999999999984,0.10240024425503552,,,25.0,25.0
88,barber_r2,0.06395735393595522,0.06603475655463413,0.28455113686548145,1.4,0.052287204885660195,0.0008832212654081688,0.7189333174554225,27.0,11797.0
93,barber_r2,0.0677933546982522,0.08021540006001397,0.3685026117295298,1.3455499999999994,0.032158241456283765,,0.7084074305665058,23.0,12110.0
98,barber_r2,0.06709425044777624,0.06997248301546197,0.2537077475035633,1.4141499999999996,0.0525477103907694,0.03538498559309317,0.7211870580554283,26.0,11378.0
113,barber_r2,0.07459428956312228,0.06293671258495598,0.26736042949686595,1.397,0.032889884963855656,0.04514620486696133,0.7415890464271925,22.0,10145.0
3,cota_r1,,0.07094671226267886,,1.271,,,,,
5,cota_r1,,0.06362987146473018,,1.265,,,,,
7,cota_r1,,0.07028308202178288,,1.301,,,,,
8,cota_r1,,0.11795308704427397,,1.251,,,,,
11,cota_r1,,0.08225958945741424,,1.278,,,,,
13,cota_r1,,0.07062018830961606,,1.284,,,,,
14,cota_r1,,0.07334809430703033,,1.288,,,,,
15,cota_r1,,0.08340360430343494,,1.237699999999999,,,,,
16,cota_r1,,0.07098241747485953,,1.301,,,,,
18,cota_r1,,0.09933621577815886,,1.258,,,,,
21,cota_r1,,0.07126524317246587,,1.29,,,,,
31,cota_r1,,0.06823818942564032,,1.213,,,,,
41,cota_r1,,0.08529363782751322,,1.29,,,,,
46,cota_r1,,0.06778200896597301,,1.3033999999999997,,,,,
47,cota_r1,,0.08317194522612265,,1.282,,,,,
51,cota_r1,,0.07412291292036331,,1.217,,,,,
55,cota_r1,,0.07909300989679273,,1.281,,,,,
57,cota_r1,,0.09863366492084877,,1.243,,,,,
71,cota_r1,,0.0673559262804204,,1.283,,,,,
72,cota_r1,,0.07077460099495801,,1.293,,,,,
73,cota_r1,,0.09357641091974897,,1.276,,,,,
78,cota_r1,,0.07310218522505653,,1.295,,,,,
80,cota_r1,,0.09802706356468546,,1.242,,,,,
86,cota_r1,,0.09382383670201909,,1.271,,,,,
88,cota_r1,,0.06863121726803206,,1.282,,,,,
89,cota_r1,,0.0807270343645179,,1.285,,,,,
93,cota_r1,,0.08514835259198228,,1.301,,,,,
98,cota_r1,,0.07501631409320203,,1.29,,,,,
113,cota_r1,,0.07324441897772582,,1.280449999999999,,,,,
2,cota_r2,,0.06635575922456892,,1.27,,,,,
3,cota_r2,,0.08499761775523085,,1.257,,,,,
5,cota_r2,,0.07747411968457889,,1.251,,,,,
7,cota_r2,,0.07570655298015277,,1.2816999999999998,,,,,
8,cota_r2,,0.11118309910663661,,1.244,,,,,
11,cota_r2,,0.09175718608128314,,1.2468500000000005,,,,,
13,cota_r2,,0.07863111490253227,,1.258,,,,,
14,cota_r2,,0.07779149614514226,,1.26,,,,,
15,cota_r2,,0.08502227592079185,,1.251,,,,,
16,cota_r2,,0.06271870554223419,,1.257,,,,,
18,cota_r2,,0.09231188971088451,,1.252,,,,,
21,cota_r2,,0.07061555602578375,,1.307,,,,,
31,cota_r2,,0.08078473105991925,,1.263,,,,,
41,cota_r2,,0.0864397561315116,,1.279,,,,,
46,cota_r2,,0.06601000495833767,,1.271,,,,,
47,cota_r2,,0.0660938689742303,,1.29975,,,,,
51,cota_r2,,0.07830779144756728,,1.25,,,,,
55,cota_r2,,0.07659908327529312,,1.2727499999999998,,,,,
57,cota_r2,,0.10575080194519,,1.242,,,,,
71,cota_r2,,0.08073935370837834,,1.265,,,,,
72,cota_r2,,0.07456060332886863,,1.2634499999999997,,,,,
73,cota_r2,,0.109416527576493,,1.254,,,,,
80,cota_r2,,0.08662061086202413,,1.232,,,,,
86,cota_r2,,0.09415779178595163,,1.2518999999999996,,,,,
88,cota_r2,,0.057271410195905294,,1.2501499999999997,,,,,
89,cota_r2,,0.07454503429655797,,1.2608500000000002,,,,,
93,cota_r2,,0.08974468170856244,,1.284,,,,,
98,cota_r2,,0.0661893143995237,,1.2618500000000004,,,,,
113,cota_r2,,0.08104654218514741,,1.265,,,,,
2,roadamerica_r1,,0.06522574729214194,,1.004,,,,,
3,roadamerica_r1,,0.12489727336227681,,0.967,,,,,
5,roadamerica_r1,,2.751367779910085,,0.959,,,,,
7,roadamerica_r1,,0.09239174032077362,,0.975,,,,,
8,roadamerica_r1,,0.14189656849632354,,0.9553999999999996,,,,,
11,roadamerica_r1,,0.6578089855645891,,0.9670499999999997,,,,,
12,roadamerica_r1,,0.10798356627515944,,0.9700499999999997,,,,,
13,roadamerica_r1,,0.0861471319248414,,0.9623499999999999,,,,,
15,roadamerica_r1,,0.8961533977274042,,0.959,,,,,
16,roadamerica_r1,,0.11195791704946374,,0.918,,,,,
18,roadamerica_r1,,0.20045127326944662,,0.855,,,,,
21,roadamerica_r1,,0.10289979058093444,,0.985,,,,,
31,roadamerica_r1,,0.3974552821042854,,0.965,,,,,
41,roadamerica_r1,,0.17037095973764949,,0.968,,,,,
47,roadamerica_r1,,0.05815286284810404,,0.955,,,,,
55,roadamerica_r1,,0.08700601845986339,,0.953,,,,,
57,roadamerica_r1,,0.14746956662706487,,0.9153999999999997,,,,,
71,roadamerica_r1,,0.06490694398212064,,0.977,,,,,
72,roadamerica_r1,,0.07451309320837267,,0.971,,,,,
78,roadamerica_r1,,0.0991598218780393,,0.984,,,,,
80,roadamerica_r1,,0.23156786502824475,,0.8967999999999993,,,,,
86,roadamerica_r1,,0.10222764034280458,,0.963,,,,,
88,roadamerica_r1,,0.07284331251716392,,0.971,,,,,
89,roadamerica_r1,,0.07831724893893408,,0.977,,,,,
98,roadamerica_r1,,0.08152837757198451,,0.9713999999999996,,,,,
113,roadamerica_r1,,0.06709953316847843,,0.964,,,,,
2,roadamerica_r2,,0.11621991826344573,,1.25,,,,,
3,roadamerica_r2,,0.08407191417887028,,1.231,,,,,
5,roadamerica_r2,,0.11767476120335073,,1.232,,,,,
7,roadamerica_r2,,0.20217216147041103,,1.2363999999999997,,,,,
8,roadamerica_r2,,0.21485295985456657,,1.209,,,,,
11,roadamerica_r2,,0.20818947485457542,,1.234,,,,,
12,roadamerica_r2,,0.11941365660693137,,1.244,,,,,
13,roadamerica_r2,,0.10803988655839745,,1.221,,,,,
16,roadamerica_r2,,20.061828646335098,,1.254,,,,,
18,roadamerica_r2,,0.20597118492388294,,1.114,,,,,
21,roadamerica_r2,,0.17923438540018566,,1.2558999999999996,,,,,
31,roadamerica_r2,,0.21744885934333266,,1.254,,,,,
41,roadamerica_r2,,0.15577118901692444,,1.244,,,,,
47,roadamerica_r2,,0.08355691998412831,,1.231,,,,,
55,roadamerica_r2,,0.18756510538295496,,1.212,,,,,
57,roadamerica_r2,,0.14932065766281186,,1.17275,,,,,
71,roadamerica_r2,,0.43275872842382035,,1.258,,,,,
72,roadamerica_r2,,0.13779962864214815,,1.242,,,,,
78,roadamerica_r2,,0.5471794320016294,,1.238,,,,,
80,roadamerica_r2,,0.14161617212852945,,1.232,,,,,
86,roadamerica_r2,,0.18002949260312412,,1.226,,,,,
88,roadamerica_r2,,0.11597897880338415,,1.242,,,,,
89,roadamerica_r2,,0.12615730606421383,,1.24,,,,,
98,roadamerica_r2,,0.2855721090395142,,1.234,,,,,
113,roadamerica_r2,,0.13062132526626583,,1.237,,,,,
2,sonoma_r1,,0.05392022528787996,,1.342,,,,,
3,sonoma_r1,,0.0558049622221303,,1.344,,,,,
5,sonoma_r1,,0.06460119462486492,,1.169,,,,,
7,sonoma_r1,,0.06962283829803004,,1.29975,,,,,
11,sonoma_r1,,0.07495692906224682,,1.309,,,,,
12,sonoma_r1,,0.09523674089683698,,1.314,,,,,
13,sonoma_r1,,0.06388747933787611,,1.382,,,,,
14,sonoma_r1,,0.06338963695938532,,1.348949999999999,,,,,
15,sonoma_r1,,0.06198867926278805,,1.372,,,,,
16,sonoma_r1,,0.06939800360566144,,1.357,,,,,
17,sonoma_r1,,0.07063484976966303,,1.321,,,,,
21,sonoma_r1,,0.07921727933089959,,1.194,,,,,
31,sonoma_r1,,0.06385224168456027,,1.357,,,,,
41,sonoma_r1,,0.06846629096666461,,1.2458999999999998,,,,,
46,sonoma_r1,,0.06140243388998897,,1.364,,,,,
47,sonoma_r1,,0.0600929665597026,,1.3438500000000004,,,,,
50,sonoma_r1,,0.07552035964913038,,1.364,,,,,
51,sonoma_r1,,0.06388097353908526,,1.323,,,,,
55,sonoma_r1,,0.06547852229802958,,1.334,,,,,
67,sonoma_r1,,0.08539564039769135,,1.1885999999999999,,,,,
71,sonoma_r1,,0.06070954687568479,,1.342,,,,,
72,sonoma_r1,,0.062367316074123026,,1.36,,,,,
73,sonoma_r1,,0.08079283325086897,,1.332,,,,,
78,sonoma_r1,,0.06909016066868223,,1.347,,,,,
80,sonoma_r1,,0.08749026094929035,,1.2854999999999999,,,,,
88,sonoma_r1,,0.05942411259838413,,1.357,,,,,
89,sonoma_r1,,0.06750468178951131,,1.336,,,,,
93,sonoma_r1,,0.07694823987063534,,1.265,,,,,
98,sonoma_r1,,0.05874540646956952,,1.397,,,,,
113,sonoma_r1,,0.06359087967831946,,1.326,,,,,
2,sonoma_r2,,0.05211643031664206,,1.35,,,,,
3,sonoma_r2,,0.06937349960983835,,1.299,,,,,
5,sonoma_r2,,0.06278783714036303,,1.259,,,,,
7,sonoma_r2,,0.07165007125789274,,1.335,,,,,
11,sonoma_r2,,0.0835600941186327,,1.27,,,,,
12,sonoma_r2,,0.09869719730510955,,1.2551000000000003,,,,,
13,sonoma_r2,,0.07417129325712536,,1.2983500000000003,,,,,
14,sonoma_r2,,0.06220464772921752,,1.32375,,,,,
15,sonoma_r2,,0.07804457771835684,,1.289,,,,,
16,sonoma_r2,,0.064855560787281,,1.319,,,,,
17,sonoma_r2,,0.0680501546186259,,1.2946499999999996,,,,,
21,sonoma_r2,,0.07436552791894221,,1.291,,,,,
31,sonoma_r2,,0.07415151243259013,,1.322,,,,,
41,sonoma_r2,,0.08018986083972557,,1.3041000000000005,,,,,
46,sonoma_r2,,0.053049990065076644,,1.287649999999999,,,,,
47,sonoma_r2,,0.0776814725677013,,1.316,,,,,
50,sonoma_r2,,0.07616456383267184,,1.315,,,,,
51,sonoma_r2,,0.06905536174033795,,1.2922999999999993,,,,,
55,sonoma_r2,,0.0682218131875083,,1.33,,,,,
67,sonoma_r2,,0.06756621004809793,,1.276,,,,,
71,sonoma_r2,,0.0649935804160528,,1.3290999999999984,,,,,
72,sonoma_r2,,0.06430542353222166,,1.3247499999999999,,,,,
73,sonoma_r2,,0.08454965866549624,,1.282,,,,,
78,sonoma_r2,,0.06568496642936696,,1.34,,,,,
80,sonoma_r2,,0.09640968701418814,,1.261,,,,,
88,sonoma_r2,,0.053540405593383786,,1.3128999999999995,,,,,
89,sonoma_r2,,0.06333947707599571,,1.315,,,,,
93,sonoma_r2,,0.07494982387382529,,1.295,,,,,
98,sonoma_r2,,0.05639961532594024,,1.346,,,,,
113,sonoma_r2,,0.07367964202458735,,1.30525,,,,,
2,vir_r1,,0.06589104541238144,,1.197,,,,,
3,vir_r1,,0.07370527628777133,,1.181,,,,,
5,vir_r1,,0.06801338998230598,,1.202,,,,,
7,vir_r1,,0.0842513410559308,,1.199,,,,,
12,vir_r1,,0.11130040500105785,,1.161,,,,,
13,vir_r1,,0.07349967461629506,,1.179,,,,,
15,vir_r1,,0.0805901834066793,,1.1770499999999993,,,,,
21,vir_r1,,0.08312087857468412,,1.1887999999999994,,,,,
31,vir_r1,,0.07098492030373198,,1.179,,,,,
41,vir_r1,,0.0791574206377704,,1.189,,,,,
46,vir_r1,,0.07461981445248239,,1.191,,,,,
51,vir_r1,,0.07051199273572159,,1.2040499999999992,,,,,
55,vir_r1,,0.08276535320887468,,1.188,,,,,
71,vir_r1,,0.06443675182318671,,1.183,,,,,
72,vir_r1,,0.07128683204500297,,1.192,,,,,
80,vir_r1,,0.09933024737052343,,1.189,,,,,
88,vir_r1,,0.06978954771863205,,1.189,,,,,
93,vir_r1,,0.07650577959834048,,1.189,,,,,
113,vir_r1,,0.0739910417694448,,1.181,,,,,
2,vir_r2,,0.06453533827598103,,1.213,,,,,
3,vir_r2,,0.0703141395366923,,1.185,,,,,
5,vir_r2,,0.07057712206947739,,1.2053499999999986,,,,,
7,vir_r2,,0.0697512395397267,,1.2020499999999992,,,,,
12,vir_r2,,0.0999829084834281,,1.179,,,,,
13,vir_r2,,0.06958999148387078,,1.196949999999999,,,,,
15,vir_r2,,0.054557034639419154,,1.20675,,,,,
41,vir_r2,,0.07501906602234415,,1.212,,,,,
46,vir_r2,,0.06340204156709908,,1.199,,,,,
51,vir_r2,,0.06122412813936,,1.204,,,,,
55,vir_r2,,0.07632003903437164,,1.218,,,,,
71,vir_r2,,0.05849083117418848,,1.199,,,,,
72,vir_r2,,0.06554846580826212,,1.202,,,,,
80,vir_r2,,0.0854381955879232,,1.205,,,,,
88,vir_r2,,0.06364419454047117,,1.207,,,,,
89,vir_r2,,0.06053147880692613,,1.191,,,,,
93,vir_r2,,0.07790320272590087,,1.213,,,,,
98,vir_r2,,0.0666917185584596,,1.1980499999999992,,,,,
113,vir_r2,,0.05882326005065006,,1.1902999999999992,,,,,
